"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene14207",1.03403350296527e-176,0.512646023810635,1,1,2.06806700593055e-172
"Gene19034",2.9329440359242e-105,0.437012455714508,1,1,5.8658880718484e-101
"Gene11216",6.91109276271464e-95,0.38495431336665,1,1,1.38221855254293e-90
"Gene9141",7.29641496398696e-95,0.353510242185099,1,1,1.45928299279739e-90
"Gene2396",2.41026021971408e-88,0.389767897535517,1,1,4.82052043942815e-84
"Gene948",6.94467600983702e-86,0.398711994778093,1,1,1.3889352019674e-81
"Gene12546",5.57341812553933e-76,0.384220878748919,1,1,1.11468362510787e-71
"Gene4909",3.92654411929954e-52,0.262631018970856,1,1,7.85308823859908e-48
"Gene4544",1.70056455756747e-51,0.34237805090863,1,1,3.40112911513494e-47
"Gene15433",1.53207597901951e-48,0.344024543381539,0.992,0.973,3.06415195803901e-44
"Gene16915",8.86580250472693e-46,0.257657384724585,1,1,1.77316050094539e-41
"Gene8905",1.45707826024053e-43,0.268528880401871,1,1,2.91415652048106e-39
"Gene19184",1.36528208180701e-42,0.296736916281249,1,1,2.73056416361401e-38
"Gene13169",1.9925467882126e-40,0.283676181548262,0.955,0.884,3.98509357642519e-36
"Gene2433",7.73366253093263e-40,0.278762495675231,1,1,1.54673250618653e-35
"Gene12438",3.89042369570039e-39,0.294355567963822,1,1,7.78084739140077e-35
"Gene18756",2.82056431480354e-35,0.270519629423203,0.998,0.988,5.64112862960709e-31
"Gene9911",6.84769161181396e-35,0.252144099471369,1,1,1.36953832236279e-30
"Gene16374",1.43460817071545e-33,0.255138646203056,1,0.999,2.8692163414309e-29
"Gene6650",2.91970782997846e-30,0.252992106055964,1,1,5.83941565995692e-26
