"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene9155",5.29210228219678e-130,0.575616239402152,1,1,1.05842045643936e-125
"Gene10982",3.60742211886891e-70,0.451444788528393,1,1,7.21484423773783e-66
"Gene5388",4.12158967711819e-70,0.511342180604951,1,0.997,8.24317935423639e-66
"Gene1915",1.00101411091283e-64,0.409276288195602,1,1,2.00202822182565e-60
"Gene3544",1.01840556764208e-61,0.372022786894248,1,1,2.03681113528416e-57
"Gene7996",1.43515469572429e-61,0.275151790495805,1,1,2.87030939144857e-57
"Gene11837",2.19831993351084e-60,0.358369064951539,1,1,4.39663986702168e-56
"Gene7422",1.50768044724993e-59,0.473222795823348,0.995,0.957,3.01536089449987e-55
"Gene4361",1.52912944806645e-55,0.291992539721917,1,1,3.05825889613289e-51
"Gene9314",1.64416951404061e-54,0.312007674510344,1,1,3.28833902808123e-50
"Gene19038",5.72695579796146e-53,0.290932880617196,1,1,1.14539115959229e-48
"Gene17606",4.64578905141686e-52,0.397404808067574,1,1,9.29157810283373e-48
"Gene16515",2.06024971477356e-51,0.314040299540788,1,1,4.12049942954713e-47
"Gene1643",8.76894612913134e-50,0.332613713059923,1,1,1.75378922582627e-45
"Gene10559",1.40670531389063e-47,0.356473682151813,1,1,2.81341062778126e-43
"Gene13504",1.94562661143364e-45,0.293368721737887,1,1,3.89125322286728e-41
"Gene724",2.28662750125725e-44,0.315483848136947,1,1,4.57325500251449e-40
"Gene5486",1.74490305287413e-38,0.33347093795192,1,1,3.48980610574826e-34
"Gene9292",1.15939603708128e-37,0.337459613506872,0.966,0.832,2.31879207416256e-33
"Gene10155",2.55103294579959e-36,0.347449385616242,0.986,0.969,5.10206589159918e-32
