"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene16021",3.29848175834836e-76,0.569077171832444,1,1,6.59696351669671e-72
"Gene9929",5.16378092487971e-68,0.579487978563427,1,1,1.03275618497594e-63
"Gene11519",1.5048026782171e-55,0.486477734748652,1,1,3.00960535643419e-51
"Gene6797",1.11995876619863e-44,0.405668831690285,1,1,2.23991753239726e-40
"Gene13413",8.07239170252722e-40,0.345390373914167,1,1,1.61447834050544e-35
"Gene13097",2.15148959197251e-39,0.422505492301891,1,1,4.30297918394501e-35
"Gene3700",4.53804336244485e-35,0.347831976569951,1,1,9.0760867248897e-31
"Gene17056",4.99349048634028e-30,0.332869645043408,1,1,9.98698097268056e-26
"Gene17991",4.05391366978443e-29,0.307707372572815,1,1,8.10782733956886e-25
"Gene7531",9.19800047785844e-27,0.312583920854355,1,1,1.83960009557169e-22
"Gene4740",1.02017868743706e-26,0.328502576977935,1,1,2.04035737487412e-22
"Gene9192",7.81715054019042e-26,0.335336503436478,1,1,1.56343010803808e-21
"Gene1129",2.05086986706915e-23,0.279816333965468,1,1,4.1017397341383e-19
"Gene12603",2.680058938739e-20,0.318555567875046,0.886,0.766,5.360117877478e-16
"Gene15248",1.42898433550225e-19,0.299119665402898,0.996,0.927,2.85796867100451e-15
"Gene269",5.04373558300321e-19,0.258684598601088,1,1,1.00874711660064e-14
"Gene2061",5.39684113082541e-18,0.283818431565582,0.996,0.974,1.07936822616508e-13
"Gene13781",1.1370589016669e-15,0.251465417264171,0.972,0.926,2.2741178033338e-11
"Gene12068",2.60336171452253e-14,0.255519870268827,0.988,0.97,5.20672342904506e-10
"Gene6806",4.59763961680034e-13,0.254223470438724,0.988,0.931,9.19527923360067e-09
