"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1001","SeuratProject",65078,8507,"Cell1001","Batch2","Group1",64993.0942016604,"0","0"
"Cell1002","SeuratProject",70628,8805,"Cell1002","Batch2","Group1",70367.0534207163,"1","1"
"Cell1003","SeuratProject",66442,8648,"Cell1003","Batch2","Group2",66394.9338454863,"1","1"
"Cell1004","SeuratProject",38162,6479,"Cell1004","Batch2","Group2",38017.5771381821,"2","2"
"Cell1005","SeuratProject",60826,8236,"Cell1005","Batch2","Group2",60932.9236513329,"1","1"
"Cell1006","SeuratProject",77937,9180,"Cell1006","Batch2","Group3",77317.9044497336,"1","1"
"Cell1007","SeuratProject",67722,8579,"Cell1007","Batch2","Group1",67783.3525260698,"0","0"
"Cell1008","SeuratProject",41289,6844,"Cell1008","Batch2","Group1",41230.707078398,"0","0"
"Cell1009","SeuratProject",73801,9018,"Cell1009","Batch2","Group1",73730.08200184,"0","0"
"Cell1010","SeuratProject",56056,7958,"Cell1010","Batch2","Group3",56855.2793503707,"2","2"
"Cell1011","SeuratProject",62268,8332,"Cell1011","Batch2","Group1",62673.0911593749,"1","1"
"Cell1012","SeuratProject",76360,9120,"Cell1012","Batch2","Group3",77187.6605526554,"2","2"
"Cell1013","SeuratProject",68470,8704,"Cell1013","Batch2","Group1",68072.1067853914,"0","0"
"Cell1014","SeuratProject",61914,8350,"Cell1014","Batch2","Group1",61653.884013941,"0","0"
"Cell1015","SeuratProject",58049,8108,"Cell1015","Batch2","Group1",57337.982133365,"0","0"
"Cell1016","SeuratProject",63059,8403,"Cell1016","Batch2","Group2",62200.1615465909,"1","1"
"Cell1017","SeuratProject",64314,8416,"Cell1017","Batch2","Group4",63873.6151749216,"1","1"
"Cell1018","SeuratProject",61822,8324,"Cell1018","Batch2","Group4",62035.1833560471,"1","1"
"Cell1019","SeuratProject",51428,7616,"Cell1019","Batch2","Group1",52073.2140267232,"0","0"
"Cell1020","SeuratProject",59609,8147,"Cell1020","Batch2","Group2",60190.6330195795,"2","2"
"Cell1021","SeuratProject",67239,8670,"Cell1021","Batch2","Group3",67354.7815705932,"2","2"
"Cell1022","SeuratProject",59767,8206,"Cell1022","Batch2","Group2",60126.2403386897,"1","1"
"Cell1023","SeuratProject",55715,7970,"Cell1023","Batch2","Group1",56944.0664827061,"0","0"
"Cell1024","SeuratProject",84274,9528,"Cell1024","Batch2","Group4",83796.4205904272,"0","0"
"Cell1025","SeuratProject",58427,8180,"Cell1025","Batch2","Group1",57709.4394148029,"0","0"
"Cell1026","SeuratProject",62610,8397,"Cell1026","Batch2","Group2",62489.2513743933,"3","3"
"Cell1027","SeuratProject",59735,8084,"Cell1027","Batch2","Group2",58818.9717488773,"1","1"
"Cell1028","SeuratProject",81754,9380,"Cell1028","Batch2","Group4",81849.7907172286,"1","1"
"Cell1029","SeuratProject",43593,7050,"Cell1029","Batch2","Group4",43453.5029691513,"1","1"
"Cell1030","SeuratProject",46852,7261,"Cell1030","Batch2","Group4",46968.6890623747,"0","0"
"Cell1031","SeuratProject",54340,7811,"Cell1031","Batch2","Group3",54894.3767242111,"1","1"
"Cell1032","SeuratProject",39739,6667,"Cell1032","Batch2","Group1",39933.6720300339,"1","1"
"Cell1033","SeuratProject",78856,9263,"Cell1033","Batch2","Group1",77876.7925888917,"1","1"
