"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",73091,9011,"Cell1","Batch1","Group2",73611.094369055,"3","3"
"Cell2","SeuratProject",44585,7073,"Cell2","Batch1","Group1",44840.2665565637,"1","1"
"Cell3","SeuratProject",59662,8242,"Cell3","Batch1","Group3",59681.9709556089,"4","4"
"Cell4","SeuratProject",54397,7779,"Cell4","Batch1","Group3",53913.6792402695,"4","4"
"Cell5","SeuratProject",73508,8908,"Cell5","Batch1","Group1",73216.9126087892,"1","1"
"Cell6","SeuratProject",49538,7489,"Cell6","Batch1","Group3",48987.3732424752,"4","4"
"Cell7","SeuratProject",63570,8428,"Cell7","Batch1","Group1",62841.8169061581,"1","1"
"Cell8","SeuratProject",49301,7374,"Cell8","Batch1","Group4",48932.5810780133,"1","1"
"Cell9","SeuratProject",60241,8283,"Cell9","Batch1","Group3",60646.8769711073,"4","4"
"Cell10","SeuratProject",75472,9151,"Cell10","Batch1","Group2",75900.8287875712,"3","3"
"Cell11","SeuratProject",46833,7288,"Cell11","Batch1","Group2",46582.4741266376,"3","3"
"Cell12","SeuratProject",57615,8002,"Cell12","Batch1","Group1",57257.9242612286,"1","1"
"Cell13","SeuratProject",61475,8338,"Cell13","Batch1","Group2",62006.6331600691,"3","3"
"Cell14","SeuratProject",72705,8928,"Cell14","Batch1","Group2",73073.1219143242,"3","3"
"Cell15","SeuratProject",62800,8412,"Cell15","Batch1","Group1",63087.9200946291,"1","1"
"Cell16","SeuratProject",78514,9201,"Cell16","Batch1","Group4",78387.0312825893,"1","1"
"Cell17","SeuratProject",60883,8289,"Cell17","Batch1","Group1",60408.3620934725,"1","1"
"Cell18","SeuratProject",49871,7469,"Cell18","Batch1","Group1",49128.4422112993,"4","4"
"Cell19","SeuratProject",61642,8239,"Cell19","Batch1","Group1",61376.2747416719,"1","1"
"Cell20","SeuratProject",85790,9548,"Cell20","Batch1","Group2",85398.5838714538,"3","3"
"Cell21","SeuratProject",48940,7318,"Cell21","Batch1","Group1",48504.263363668,"1","1"
"Cell22","SeuratProject",52040,7721,"Cell22","Batch1","Group1",52193.3260155971,"1","1"
"Cell23","SeuratProject",60114,8269,"Cell23","Batch1","Group2",60183.775357508,"3","3"
"Cell24","SeuratProject",68573,8677,"Cell24","Batch1","Group1",68142.0833281704,"1","1"
"Cell25","SeuratProject",61982,8342,"Cell25","Batch1","Group3",62592.4442881373,"3","3"
"Cell26","SeuratProject",72533,8916,"Cell26","Batch1","Group4",71525.1020804418,"1","1"
"Cell27","SeuratProject",72305,8895,"Cell27","Batch1","Group1",72454.3754141131,"1","1"
"Cell28","SeuratProject",63797,8478,"Cell28","Batch1","Group2",64352.3162263791,"3","3"
"Cell29","SeuratProject",65287,8522,"Cell29","Batch1","Group2",65478.7518772829,"3","3"
"Cell30","SeuratProject",102259,10276,"Cell30","Batch1","Group3",102933.090968021,"4","4"
"Cell31","SeuratProject",57408,7965,"Cell31","Batch1","Group1",56763.0379594047,"1","1"
"Cell32","SeuratProject",73821,8984,"Cell32","Batch1","Group2",73539.0363762576,"3","3"
"Cell33","SeuratProject",34736,6250,"Cell33","Batch1","Group4",34362.7655637059,"3","3"
"Cell34","SeuratProject",54322,7814,"Cell34","Batch1","Group1",54213.4454900279,"1","1"
"Cell35","SeuratProject",72468,8937,"Cell35","Batch1","Group1",71552.0279422616,"1","1"
"Cell36","SeuratProject",55767,7919,"Cell36","Batch1","Group1",55411.5150991407,"1","1"
"Cell37","SeuratProject",74686,9078,"Cell37","Batch1","Group4",74483.1770441333,"3","3"
"Cell38","SeuratProject",96253,10040,"Cell38","Batch1","Group4",96212.3627076502,"1","1"
"Cell39","SeuratProject",60848,8314,"Cell39","Batch1","Group1",60996.5504574901,"1","1"
"Cell40","SeuratProject",69811,8741,"Cell40","Batch1","Group3",70552.9465066948,"4","4"
"Cell41","SeuratProject",69293,8892,"Cell41","Batch1","Group4",69099.392352506,"1","1"
"Cell42","SeuratProject",57916,8090,"Cell42","Batch1","Group1",57932.4320706267,"1","1"
"Cell43","SeuratProject",70942,8846,"Cell43","Batch1","Group2",70236.5103976697,"3","3"
"Cell44","SeuratProject",42884,6929,"Cell44","Batch1","Group3",43251.3226220584,"4","4"
"Cell45","SeuratProject",69068,8767,"Cell45","Batch1","Group1",69016.0340321371,"1","1"
"Cell46","SeuratProject",78043,9206,"Cell46","Batch1","Group1",77401.5130629056,"1","1"
"Cell47","SeuratProject",62603,8300,"Cell47","Batch1","Group2",62294.2404636291,"3","3"
"Cell48","SeuratProject",92616,9885,"Cell48","Batch1","Group1",92202.5264224594,"1","1"
