"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene28271",3.91874441590676e-229,2.44789337737761,0.994,0.965,1.32038174349563e-224
"Gene4979",1.09769508993394e-218,2.03131267570785,0.986,0.935,3.69857383602343e-214
"Gene19473",3.36074475244095e-180,2.25152141531859,0.965,0.731,1.13236933688745e-175
"Gene22998",1.1727020838095e-128,1.95931271201636,0.926,0.558,3.95130240118772e-124
"Gene2519",2.00781754287096e-114,0.940471834163811,0.996,0.974,6.76514042894942e-110
"Gene25191",2.21807520662624e-78,2.08898359642589,0.375,0.053,7.47358260120645e-74
"Gene24222",9.3580612207456e-78,0.668035044566254,0.979,0.966,3.15310514771802e-73
"Gene2147",1.14678307188447e-67,1.24773414634338,0.287,0.028,3.86397088240752e-63
"Gene23184",4.12677327866889e-54,1.26800340828609,0.243,0.026,1.3904749885147e-49
"Gene28118",1.75175465712411e-52,0.607140328129843,0.971,0.943,5.90236214171399e-48
"Gene26209",3.09828787879098e-44,1.04423087226295,0.2,0.022,1.04393711787983e-39
"Gene31994",3.04014955056213e-41,0.985531142379839,0.239,0.04,1.0243479895664e-36
"Gene9545",3.20261148615753e-40,0.831505421137996,0.924,0.838,1.07908791414592e-35
"Gene27915",6.49655129489861e-40,1.1049274913211,0.235,0.041,2.18894799330314e-35
"Gene22306",5.2664405750739e-35,1.10552145858724,0.66,0.389,1.7744744873654e-30
"Gene2510",6.0938089591679e-31,0.917378163895507,0.753,0.543,2.05324799070203e-26
"Gene26895",2.85838779993673e-28,0.702567466028408,0.899,0.792,9.63105185310683e-24
"Gene6336",2.55481520829303e-26,1.0513382877223,0.214,0.054,8.60819436282252e-22
"Gene12544",4.76553675077279e-26,1.0717057983988,0.252,0.077,1.60569995280538e-21
"Gene16470",9.61232836768991e-26,0.854240891281715,0.157,0.028,3.23877792020944e-21
