"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene18913",1.62668960354698e-214,3.12663809708216,0.967,0.549,5.48096795019119e-210
"Gene14662",9.25297980285214e-208,2.10188397133755,0.99,0.855,3.117699014773e-203
"Gene33346",7.74465970037016e-144,2.31874129314348,0.852,0.366,2.60948563944272e-139
"Gene23350",4.37578095607681e-112,1.7248566598624,0.977,0.846,1.47437563534052e-107
"Gene17485",8.24693246102702e-96,1.9377580793572,0.722,0.297,2.77872142341844e-91
"Gene13063",1.24119633275061e-93,1.38068450280695,0.965,0.904,4.18208692356992e-89
"Gene11715",3.92451004081206e-83,1.43426208299307,0.951,0.83,1.32232441315122e-78
"Gene10025",4.44173933873448e-75,1.88493463801132,0.498,0.122,1.4965996527932e-70
"Gene24725",1.19211432298887e-55,1.22791877198471,0.823,0.548,4.01670999987868e-51
"Gene14315",9.66705511611938e-55,1.37806259753022,0.798,0.518,3.25721755082526e-50
"Gene7490",1.42970964940314e-47,1.17216005114751,0.825,0.607,4.81726369269893e-43
"Gene25595",5.03565615431332e-46,1.26161438902792,0.28,0.053,1.69671398463433e-41
"Gene27951",8.22737475426409e-44,1.29378991972613,0.263,0.049,2.77213164970174e-39
"Gene10380",1.40701697645151e-41,1.28673083468269,0.222,0.034,4.7408030004557e-37
"Gene24269",1.84488310351457e-36,0.921066703623374,0.181,0.023,6.216149128982e-32
"Gene27494",2.8774610430383e-36,0.674807807621172,0.15,0.013,9.69531723841324e-32
"Gene10564",8.64242742245512e-33,1.29132141264839,0.327,0.109,2.91197949572203e-28
"Gene23971",2.75647467299293e-32,0.518754897803658,0.973,0.913,9.28766576318237e-28
"Gene28923",3.51159793426501e-31,0.755213197673362,0.134,0.013,1.18319780797125e-26
"Gene13498",4.23706934254928e-31,1.02290061752556,0.726,0.516,1.42763814427856e-26
