"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",9303,962,"Cell1","Batch1","Group2",10292.4501835272,"1","1"
"Cell2","SeuratProject",3076,485,"Cell2","Batch1","Group1",3559.75694780193,"1","1"
"Cell3","SeuratProject",1657,333,"Cell3","Batch1","Group3",2051.05134374564,"0","0"
"Cell4","SeuratProject",3369,490,"Cell4","Batch1","Group1",4080.69239869419,"3","3"
"Cell5","SeuratProject",3141,498,"Cell5","Batch1","Group3",3940.47478436512,"0","0"
"Cell6","SeuratProject",3670,529,"Cell6","Batch1","Group2",4247.68423830712,"2","2"
"Cell7","SeuratProject",6728,753,"Cell7","Batch1","Group4",7366.93063713704,"1","1"
"Cell8","SeuratProject",3023,467,"Cell8","Batch1","Group1",3517.11574530501,"3","3"
"Cell9","SeuratProject",2680,409,"Cell9","Batch1","Group4",3149.51372170667,"1","1"
"Cell10","SeuratProject",3807,556,"Cell10","Batch1","Group1",4435.4201049953,"3","3"
"Cell11","SeuratProject",5901,738,"Cell11","Batch1","Group3",6862.01288137067,"0","0"
"Cell12","SeuratProject",1550,320,"Cell12","Batch1","Group2",1961.07599827115,"2","2"
"Cell13","SeuratProject",2297,378,"Cell13","Batch1","Group2",2767.97731603909,"1","1"
"Cell14","SeuratProject",3160,491,"Cell14","Batch1","Group3",3828.64276489413,"0","0"
"Cell15","SeuratProject",2522,424,"Cell15","Batch1","Group2",3017.80699213629,"2","2"
"Cell16","SeuratProject",2891,472,"Cell16","Batch1","Group1",3578.55618271613,"3","3"
"Cell17","SeuratProject",3998,566,"Cell17","Batch1","Group2",4647.36934494642,"2","2"
"Cell18","SeuratProject",1871,347,"Cell18","Batch1","Group3",2131.06311394878,"0","0"
"Cell19","SeuratProject",3512,504,"Cell19","Batch1","Group2",4095.71350298905,"2","2"
"Cell20","SeuratProject",1584,305,"Cell20","Batch1","Group4",1843.3826859385,"1","1"
"Cell21","SeuratProject",2569,433,"Cell21","Batch1","Group1",2989.27750402057,"3","3"
"Cell22","SeuratProject",4099,552,"Cell22","Batch1","Group4",4720.92086622426,"3","3"
"Cell23","SeuratProject",3478,516,"Cell23","Batch1","Group2",4137.96228169721,"2","2"
"Cell24","SeuratProject",5276,649,"Cell24","Batch1","Group4",6416.20037636038,"1","1"
"Cell25","SeuratProject",1776,328,"Cell25","Batch1","Group4",2067.31592921455,"1","1"
"Cell26","SeuratProject",3877,568,"Cell26","Batch1","Group2",4835.54878228745,"2","2"
"Cell27","SeuratProject",2823,448,"Cell27","Batch1","Group4",3350.49690221567,"3","3"
"Cell28","SeuratProject",3162,496,"Cell28","Batch1","Group3",3919.64703157791,"0","0"
"Cell29","SeuratProject",3403,532,"Cell29","Batch1","Group3",4000.38645871742,"0","0"
"Cell30","SeuratProject",4550,587,"Cell30","Batch1","Group1",5214.06532956898,"3","3"
"Cell31","SeuratProject",1860,351,"Cell31","Batch1","Group1",2367.83996642459,"3","3"
"Cell32","SeuratProject",3049,471,"Cell32","Batch1","Group1",3549.53052252676,"3","3"
"Cell33","SeuratProject",5748,751,"Cell33","Batch1","Group2",6654.15743302869,"1","1"
"Cell34","SeuratProject",2823,461,"Cell34","Batch1","Group2",3318.26609959331,"2","2"
"Cell35","SeuratProject",3474,497,"Cell35","Batch1","Group1",3939.09901618337,"3","3"
"Cell36","SeuratProject",4492,618,"Cell36","Batch1","Group2",5238.37798299918,"2","2"
"Cell37","SeuratProject",5820,707,"Cell37","Batch1","Group2",6634.28088243086,"2","2"
"Cell38","SeuratProject",3141,459,"Cell38","Batch1","Group4",3732.49790291035,"1","1"
"Cell39","SeuratProject",2816,465,"Cell39","Batch1","Group2",3427.81090455157,"2","2"
"Cell40","SeuratProject",3442,509,"Cell40","Batch1","Group1",3749.62950596086,"3","3"
"Cell41","SeuratProject",1303,296,"Cell41","Batch1","Group3",1699.81167615771,"0","0"
"Cell42","SeuratProject",2535,420,"Cell42","Batch1","Group3",2779.24387100329,"0","0"
"Cell43","SeuratProject",3314,487,"Cell43","Batch1","Group4",3973.17822010273,"1","1"
"Cell44","SeuratProject",4371,587,"Cell44","Batch1","Group3",5047.40363037245,"0","0"
"Cell45","SeuratProject",2736,446,"Cell45","Batch1","Group3",3238.12451897628,"0","0"
"Cell46","SeuratProject",2481,398,"Cell46","Batch1","Group1",2941.04632321296,"3","3"
"Cell47","SeuratProject",2578,438,"Cell47","Batch1","Group3",3205.39786341442,"0","0"
"Cell48","SeuratProject",2842,431,"Cell48","Batch1","Group4",3244.0049948769,"1","1"
"Cell49","SeuratProject",1879,357,"Cell49","Batch1","Group2",2464.16992986307,"2","2"
"Cell50","SeuratProject",1633,321,"Cell50","Batch1","Group3",2079.23114168644,"0","0"
"Cell51","SeuratProject",3741,531,"Cell51","Batch1","Group3",4344.29705403133,"0","0"
"Cell52","SeuratProject",3078,492,"Cell52","Batch1","Group2",3742.23899951729,"2","2"
"Cell53","SeuratProject",7763,878,"Cell53","Batch1","Group1",8856.56036943656,"3","3"
"Cell54","SeuratProject",2209,390,"Cell54","Batch1","Group2",2586.66500161812,"2","2"
"Cell55","SeuratProject",1430,296,"Cell55","Batch1","Group4",1757.22500325708,"1","1"
"Cell56","SeuratProject",3469,494,"Cell56","Batch1","Group4",4296.41547315782,"1","1"
"Cell57","SeuratProject",3343,448,"Cell57","Batch1","Group4",4006.36573544772,"1","1"
"Cell58","SeuratProject",3701,530,"Cell58","Batch1","Group4",4157.66656068763,"1","1"
"Cell59","SeuratProject",3479,522,"Cell59","Batch1","Group2",4000.70248821353,"3","3"
"Cell60","SeuratProject",2395,418,"Cell60","Batch1","Group2",2819.30090175604,"2","2"
"Cell61","SeuratProject",1519,328,"Cell61","Batch1","Group1",2006.91127641086,"3","3"
"Cell62","SeuratProject",3081,462,"Cell62","Batch1","Group1",3649.52650006099,"3","3"
"Cell63","SeuratProject",5069,656,"Cell63","Batch1","Group2",5625.4695074845,"2","2"
"Cell64","SeuratProject",3182,523,"Cell64","Batch1","Group3",3949.49802035078,"1","1"
"Cell65","SeuratProject",2370,418,"Cell65","Batch1","Group2",2862.13975098637,"2","2"
"Cell66","SeuratProject",2396,403,"Cell66","Batch1","Group1",2812.38735971007,"3","3"
"Cell67","SeuratProject",4071,544,"Cell67","Batch1","Group4",4740.90994438527,"1","1"
"Cell68","SeuratProject",2846,466,"Cell68","Batch1","Group3",3322.23937049542,"0","0"
"Cell69","SeuratProject",2544,436,"Cell69","Batch1","Group3",2936.58374724804,"0","0"
"Cell70","SeuratProject",2327,388,"Cell70","Batch1","Group4",2847.15425385352,"1","1"
"Cell71","SeuratProject",3620,505,"Cell71","Batch1","Group1",4408.41502326834,"3","3"
"Cell72","SeuratProject",1725,363,"Cell72","Batch1","Group3",2140.6220661467,"0","0"
"Cell73","SeuratProject",3717,506,"Cell73","Batch1","Group4",4273.01717362311,"1","1"
"Cell74","SeuratProject",2033,345,"Cell74","Batch1","Group2",2409.59208048033,"2","2"
"Cell75","SeuratProject",2833,453,"Cell75","Batch1","Group1",3466.92786519441,"3","3"
