"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene15204",7.8555337972717e-248,3.51127357854484,0.998,0.944,2.64684355765273e-243
"Gene2420",6.07806105958059e-234,2.44846898590907,0.992,0.951,2.04794189341508e-229
"Gene8214",1.99022030138077e-187,2.94232534868222,0.735,0.111,6.70584828347237e-183
"Gene20294",1.45213030029766e-163,1.2718553052728,0.978,0.956,4.89280783382295e-159
"Gene26931",1.23280849035226e-106,1.85482939796003,0.855,0.458,4.15382492739291e-102
"Gene32457",4.08767830271399e-99,0.905460825291124,0.967,0.949,1.37730232731645e-94
"Gene7177",9.51504464510037e-94,1.88397254107095,0.347,0.024,3.20599914272012e-89
"Gene2963",2.46364165982864e-67,1.445445914787,0.269,0.022,8.30099420862662e-63
"Gene5514",1.11367992737224e-66,0.800286358756224,0.975,0.954,3.75243314728801e-62
"Gene25980",5.67984722483281e-64,1.50498275618887,0.318,0.046,1.91376772393517e-59
"Gene16718",9.06843103109019e-60,1.31652671596144,0.747,0.437,3.05551715161553e-55
"Gene29717",2.20282640688388e-54,1.55883821778542,0.616,0.287,7.42220329535455e-50
"Gene23454",7.09795262401066e-48,1.29352691037885,0.261,0.041,2.39158415713415e-43
"Gene21868",1.26051291079489e-39,0.404954769081852,0.986,0.982,4.2471722016323e-35
"Gene17803",1.79390014203928e-39,0.861085357252559,0.151,0.01,6.04436713858714e-35
"Gene10364",1.21082240484339e-36,0.826255858983891,0.839,0.672,4.07974501087933e-32
"Gene23849",1.97198461904267e-35,0.705712972275279,0.137,0.009,6.64440497540238e-31
"Gene15271",6.07638168323538e-33,0.755178394612472,0.129,0.009,2.04737604434933e-28
"Gene11542",5.09533253843184e-23,0.771036932701731,0.125,0.019,1.71682134549922e-18
"Gene22099",2.85259420241961e-20,0.81088955727542,0.749,0.597,9.61153090563264e-16
