"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene16021",2.89832270405424e-102,0.729186650708437,1,1,5.79664540810848e-98
"Gene9929",1.91259216936375e-94,0.744298724701189,1,1,3.82518433872749e-90
"Gene11519",1.45567906134659e-83,0.639768553121812,1,1,2.91135812269318e-79
"Gene6797",2.0444918286814e-77,0.597095731136499,1,1,4.0889836573628e-73
"Gene13413",4.51442064815659e-58,0.43608811494874,1,1,9.02884129631319e-54
"Gene3700",3.65385987420112e-56,0.469985736022509,1,1,7.30771974840224e-52
"Gene13097",4.86703093000904e-53,0.469019105387492,1,1,9.73406186001808e-49
"Gene7531",1.06524657770327e-50,0.492496855153709,1,1,2.13049315540654e-46
"Gene4740",2.83965783205423e-40,0.385985343861562,1,1,5.67931566410847e-36
"Gene13781",1.22438496194241e-38,0.38703692381789,0.984,0.929,2.44876992388483e-34
"Gene9192",6.14846394854258e-36,0.408927394582807,1,1,1.22969278970852e-31
"Gene17991",1.63260036941656e-34,0.336226558123069,1,1,3.26520073883312e-30
"Gene12603",1.66209572008372e-32,0.372617595884173,0.945,0.767,3.32419144016745e-28
"Gene17056",1.77238141326178e-32,0.345628500988418,1,1,3.54476282652356e-28
"Gene1129",8.07601809349124e-31,0.294692041863812,1,1,1.61520361869825e-26
"Gene12068",1.32294912100546e-30,0.424641689286238,0.992,0.957,2.64589824201092e-26
"Gene16552",2.02057914710911e-29,0.337501410896819,0.996,0.969,4.04115829421823e-25
"Gene6806",1.33161013662662e-27,0.424065936847749,0.996,0.936,2.66322027325325e-23
"Gene5399",2.37306380893583e-27,0.318419183002101,1,1,4.74612761787167e-23
"Gene12875",4.87673574863094e-25,0.257708112507015,1,1,9.75347149726188e-21
