"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene14207",1.55675797351055e-232,0.619678711647321,1,1,3.11351594702111e-228
"Gene19034",3.86043574503195e-151,0.535244704144206,1,1,7.7208714900639e-147
"Gene2396",7.80476902072467e-143,0.50837950803622,1,1,1.56095380414493e-138
"Gene948",5.27149211051648e-117,0.483057254231446,1,1,1.0542984221033e-112
"Gene9141",2.41655969954853e-116,0.403429852317998,1,1,4.83311939909705e-112
"Gene11216",3.41182795500718e-113,0.429267448736163,1,1,6.82365591001436e-109
"Gene12546",2.85131255162758e-89,0.416724565749825,1,1,5.70262510325515e-85
"Gene14537",2.02330397635123e-85,0.335727226629921,1,1,4.04660795270247e-81
"Gene15433",4.90205354563685e-83,0.428249468125792,0.999,0.972,9.8041070912737e-79
"Gene4544",1.73182467315633e-80,0.449097378941698,1,1,3.46364934631265e-76
"Gene19184",3.75689931808812e-78,0.430835892093027,1,1,7.51379863617625e-74
"Gene16915",2.52179895848361e-77,0.344432933775428,1,1,5.04359791696722e-73
"Gene8617",8.36849924158389e-70,0.291080884843365,1,1,1.67369984831678e-65
"Gene2433",8.29721333644763e-66,0.35273964646455,1,1,1.65944266728953e-61
"Gene4909",8.62809499410467e-65,0.296288766475319,1,1,1.72561899882093e-60
"Gene16374",5.6856301619304e-64,0.374189057478489,0.999,0.999,1.13712603238608e-59
"Gene12438",6.77664079643174e-60,0.361976248472911,1,1,1.35532815928635e-55
"Gene8905",1.84188977419112e-59,0.324889424911603,1,1,3.68377954838225e-55
"Gene10496",6.34364553290503e-54,0.268178756329997,1,1,1.26872910658101e-49
"Gene13169",9.08893155416375e-51,0.333310684610692,0.964,0.875,1.81778631083275e-46
