"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1001","SeuratProject",64921,8474,"Cell1001","Batch2","Group1",64993.0942016604,"0","0"
"Cell1002","SeuratProject",70322,8720,"Cell1002","Batch2","Group1",70367.0534207163,"0","0"
"Cell1003","SeuratProject",66671,8550,"Cell1003","Batch2","Group2",66394.9338454863,"2","2"
"Cell1004","SeuratProject",38372,6590,"Cell1004","Batch2","Group2",38017.5771381821,"2","2"
"Cell1005","SeuratProject",60278,8126,"Cell1005","Batch2","Group2",60932.9236513329,"2","2"
"Cell1006","SeuratProject",77541,9143,"Cell1006","Batch2","Group3",77317.9044497336,"1","1"
"Cell1007","SeuratProject",67286,8655,"Cell1007","Batch2","Group1",67783.3525260698,"0","0"
"Cell1008","SeuratProject",41059,6751,"Cell1008","Batch2","Group1",41230.707078398,"0","0"
"Cell1009","SeuratProject",74351,9002,"Cell1009","Batch2","Group1",73730.08200184,"0","0"
"Cell1010","SeuratProject",56735,7965,"Cell1010","Batch2","Group3",56855.2793503707,"1","1"
"Cell1011","SeuratProject",61656,8336,"Cell1011","Batch2","Group1",62673.0911593749,"0","0"
"Cell1012","SeuratProject",76920,9075,"Cell1012","Batch2","Group3",77187.6605526554,"1","1"
"Cell1013","SeuratProject",68261,8768,"Cell1013","Batch2","Group1",68072.1067853914,"0","0"
"Cell1014","SeuratProject",61286,8285,"Cell1014","Batch2","Group1",61653.884013941,"0","0"
"Cell1015","SeuratProject",57802,7998,"Cell1015","Batch2","Group1",57337.982133365,"0","0"
"Cell1016","SeuratProject",62011,8354,"Cell1016","Batch2","Group2",62200.1615465909,"2","2"
"Cell1017","SeuratProject",64105,8581,"Cell1017","Batch2","Group4",63873.6151749216,"3","3"
"Cell1018","SeuratProject",62478,8324,"Cell1018","Batch2","Group4",62035.1833560471,"1","1"
"Cell1019","SeuratProject",51321,7650,"Cell1019","Batch2","Group1",52073.2140267232,"0","0"
"Cell1020","SeuratProject",59705,8199,"Cell1020","Batch2","Group2",60190.6330195795,"2","2"
"Cell1021","SeuratProject",67009,8658,"Cell1021","Batch2","Group3",67354.7815705932,"1","1"
"Cell1022","SeuratProject",60065,8299,"Cell1022","Batch2","Group2",60126.2403386897,"2","2"
"Cell1023","SeuratProject",56226,7943,"Cell1023","Batch2","Group1",56944.0664827061,"0","0"
"Cell1024","SeuratProject",84163,9527,"Cell1024","Batch2","Group4",83796.4205904272,"3","3"
"Cell1025","SeuratProject",58158,8064,"Cell1025","Batch2","Group1",57709.4394148029,"0","0"
"Cell1026","SeuratProject",62966,8399,"Cell1026","Batch2","Group2",62489.2513743933,"2","2"
"Cell1027","SeuratProject",59265,8081,"Cell1027","Batch2","Group2",58818.9717488773,"2","2"
"Cell1028","SeuratProject",81919,9406,"Cell1028","Batch2","Group4",81849.7907172286,"3","3"
"Cell1029","SeuratProject",43755,7004,"Cell1029","Batch2","Group4",43453.5029691513,"3","3"
"Cell1030","SeuratProject",46688,7255,"Cell1030","Batch2","Group4",46968.6890623747,"3","3"
"Cell1031","SeuratProject",55252,7851,"Cell1031","Batch2","Group3",54894.3767242111,"1","1"
"Cell1032","SeuratProject",39240,6635,"Cell1032","Batch2","Group1",39933.6720300339,"0","0"
"Cell1033","SeuratProject",78857,9212,"Cell1033","Batch2","Group1",77876.7925888917,"0","0"
"Cell1034","SeuratProject",54643,7758,"Cell1034","Batch2","Group1",54909.8283817735,"0","0"
"Cell1035","SeuratProject",93876,9919,"Cell1035","Batch2","Group2",94089.0941698064,"2","2"
"Cell1036","SeuratProject",53205,7649,"Cell1036","Batch2","Group1",53028.0924106693,"0","0"
"Cell1037","SeuratProject",84958,9510,"Cell1037","Batch2","Group1",86000.7701964904,"0","0"
"Cell1038","SeuratProject",58496,8007,"Cell1038","Batch2","Group2",58700.1197540002,"2","2"
"Cell1039","SeuratProject",51637,7563,"Cell1039","Batch2","Group4",51322.7368221771,"3","3"
"Cell1040","SeuratProject",60508,8244,"Cell1040","Batch2","Group2",60393.5744788826,"2","2"
"Cell1041","SeuratProject",53184,7625,"Cell1041","Batch2","Group3",52646.8453806101,"1","1"
"Cell1042","SeuratProject",77664,9138,"Cell1042","Batch2","Group1",77425.8092973102,"0","0"
"Cell1043","SeuratProject",49743,7489,"Cell1043","Batch2","Group2",49783.4203117705,"2","2"
"Cell1044","SeuratProject",65818,8606,"Cell1044","Batch2","Group2",66174.7411895199,"2","2"
"Cell1045","SeuratProject",90262,9732,"Cell1045","Batch2","Group2",89358.8956093972,"2","2"
