"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene15204",9.9854924031999e-247,3.12226807773849,0.998,0.938,3.36451181033417e-242
"Gene2420",1.2565312436013e-223,2.17078892251283,0.998,0.958,4.23375637219022e-219
"Gene20294",1.91556334492421e-149,1.17008593286695,0.988,0.956,6.45429913438762e-145
"Gene8214",2.10472084713927e-139,2.42863650000819,0.631,0.107,7.09164642235105e-135
"Gene32457",2.65043572927851e-102,0.895109064870679,0.971,0.954,8.93037814623101e-98
"Gene26931",1.5757492675538e-72,1.62184084258832,0.784,0.46,5.30932958209578e-68
"Gene25980",1.57994031012976e-69,1.39172545374102,0.302,0.032,5.32345088095122e-65
"Gene7177",6.19941403014337e-58,1.37560884277939,0.253,0.026,2.08883056331651e-53
"Gene5514",4.12090288618464e-56,0.693108912630647,0.975,0.962,1.38849701847105e-51
"Gene16718",8.81215765871816e-49,1.19635919895748,0.727,0.42,2.9691684015285e-44
"Gene2963",3.41504407888882e-43,1.05651625053774,0.222,0.031,1.1506649519408e-38
"Gene29717",1.91154598003851e-42,1.29347564312075,0.6,0.303,6.44076302514175e-38
"Gene21868",3.46919941177306e-39,0.421716608569353,0.984,0.978,1.16891204980282e-34
"Gene10364",1.47345311272592e-32,0.752850449839119,0.861,0.711,4.96465291801872e-28
"Gene23454",2.21075332396143e-26,0.958367222796407,0.192,0.044,7.44891224975565e-22
"Gene23971",6.80660504313288e-21,0.364003085962503,0.98,0.924,2.29341750323319e-16
"Gene22099",3.51107264495422e-20,0.748342958196019,0.745,0.587,1.18302081699088e-15
"Gene17103",4.71780674334697e-19,0.474113530034832,0.12,0.022,1.58961780410333e-14
"Gene12723",3.45456780551832e-16,0.631996821924372,0.604,0.436,1.16398207639134e-11
"Gene33347",1.41258930384217e-15,0.66905688429711,0.165,0.053,4.75957840036581e-11
