"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1001","SeuratProject",3295,477,"Cell1001","Batch2","Group1",3714.17199743802,"2","2"
"Cell1002","SeuratProject",3399,500,"Cell1002","Batch2","Group1",4002.37505533208,"1","1"
"Cell1003","SeuratProject",12021,1125,"Cell1003","Batch2","Group3",13282.0937320877,"2","2"
"Cell1004","SeuratProject",2878,422,"Cell1004","Batch2","Group1",3525.96100259572,"1","1"
"Cell1005","SeuratProject",3542,490,"Cell1005","Batch2","Group4",4184.17288546615,"3","3"
"Cell1006","SeuratProject",2173,370,"Cell1006","Batch2","Group4",2525.62395191225,"3","3"
"Cell1007","SeuratProject",2215,400,"Cell1007","Batch2","Group2",2618.62213607382,"0","0"
"Cell1008","SeuratProject",2092,379,"Cell1008","Batch2","Group3",2553.9375464131,"2","2"
"Cell1009","SeuratProject",2546,427,"Cell1009","Batch2","Group2",2978.93524524329,"0","0"
"Cell1010","SeuratProject",2428,407,"Cell1010","Batch2","Group3",3027.05783011014,"2","2"
"Cell1011","SeuratProject",5977,741,"Cell1011","Batch2","Group1",7115.30140990837,"1","1"
"Cell1012","SeuratProject",3385,510,"Cell1012","Batch2","Group1",3847.28072677457,"1","1"
"Cell1013","SeuratProject",2800,454,"Cell1013","Batch2","Group1",3479.88230630672,"1","1"
"Cell1014","SeuratProject",4368,580,"Cell1014","Batch2","Group1",5065.6164096076,"1","1"
"Cell1015","SeuratProject",3078,449,"Cell1015","Batch2","Group4",3486.84928895641,"3","3"
"Cell1016","SeuratProject",3755,530,"Cell1016","Batch2","Group1",4395.52157770515,"1","1"
"Cell1017","SeuratProject",2840,453,"Cell1017","Batch2","Group1",3448.96983302926,"1","1"
"Cell1018","SeuratProject",4724,598,"Cell1018","Batch2","Group1",5626.01114287309,"1","1"
"Cell1019","SeuratProject",2919,471,"Cell1019","Batch2","Group2",3748.72806710088,"2","2"
"Cell1020","SeuratProject",2381,399,"Cell1020","Batch2","Group4",3026.08317202993,"3","3"
"Cell1021","SeuratProject",4547,598,"Cell1021","Batch2","Group3",4989.77187101042,"2","2"
"Cell1022","SeuratProject",7660,797,"Cell1022","Batch2","Group4",8304.57309799646,"3","3"
"Cell1023","SeuratProject",4202,554,"Cell1023","Batch2","Group1",4905.73901011327,"1","1"
"Cell1024","SeuratProject",1750,342,"Cell1024","Batch2","Group3",2116.48164223516,"2","2"
"Cell1025","SeuratProject",2205,383,"Cell1025","Batch2","Group3",2637.04133929898,"2","2"
"Cell1026","SeuratProject",2148,354,"Cell1026","Batch2","Group1",2392.86405264621,"1","1"
"Cell1027","SeuratProject",2450,422,"Cell1027","Batch2","Group2",2893.93545380823,"1","1"
"Cell1028","SeuratProject",6986,814,"Cell1028","Batch2","Group2",7791.36255019838,"0","0"
"Cell1029","SeuratProject",5085,663,"Cell1029","Batch2","Group1",6230.93589989383,"1","1"
"Cell1030","SeuratProject",3881,520,"Cell1030","Batch2","Group3",4423.72746558273,"2","2"
"Cell1031","SeuratProject",1731,340,"Cell1031","Batch2","Group2",2180.75739671191,"0","0"
"Cell1032","SeuratProject",3791,516,"Cell1032","Batch2","Group4",4510.90403014801,"3","3"
"Cell1033","SeuratProject",3243,468,"Cell1033","Batch2","Group1",3798.15050786756,"1","1"
"Cell1034","SeuratProject",2715,424,"Cell1034","Batch2","Group3",3169.38472054167,"2","2"
"Cell1035","SeuratProject",3355,513,"Cell1035","Batch2","Group3",4051.04316358092,"2","2"
"Cell1036","SeuratProject",2022,359,"Cell1036","Batch2","Group1",2594.73231860845,"0","0"
"Cell1037","SeuratProject",3398,492,"Cell1037","Batch2","Group1",3914.97642302926,"1","1"
"Cell1038","SeuratProject",2023,347,"Cell1038","Batch2","Group1",2592.16528445339,"1","1"
"Cell1039","SeuratProject",2085,403,"Cell1039","Batch2","Group3",2810.921105584,"2","2"
"Cell1040","SeuratProject",4056,533,"Cell1040","Batch2","Group4",4861.06284006993,"3","3"
"Cell1041","SeuratProject",3722,548,"Cell1041","Batch2","Group2",4375.77560803904,"0","0"
"Cell1042","SeuratProject",2523,412,"Cell1042","Batch2","Group2",3068.18442088573,"1","1"
"Cell1043","SeuratProject",3236,486,"Cell1043","Batch2","Group4",3850.18737497725,"3","3"
"Cell1044","SeuratProject",3152,462,"Cell1044","Batch2","Group2",3485.01955476935,"2","2"
"Cell1045","SeuratProject",3491,476,"Cell1045","Batch2","Group4",4025.69807221038,"3","3"
"Cell1046","SeuratProject",1296,256,"Cell1046","Batch2","Group2",1731.56258407121,"0","0"
"Cell1047","SeuratProject",2203,380,"Cell1047","Batch2","Group4",2573.86835212078,"3","3"
"Cell1048","SeuratProject",4959,604,"Cell1048","Batch2","Group4",5767.42854709696,"3","3"
"Cell1049","SeuratProject",4682,600,"Cell1049","Batch2","Group2",5079.46247592394,"0","0"
"Cell1050","SeuratProject",1342,297,"Cell1050","Batch2","Group4",1752.13348593281,"3","3"
"Cell1051","SeuratProject",2993,448,"Cell1051","Batch2","Group3",3651.4414862219,"2","2"
"Cell1052","SeuratProject",3496,458,"Cell1052","Batch2","Group1",4128.99188410958,"1","1"
"Cell1053","SeuratProject",1758,319,"Cell1053","Batch2","Group4",2140.49190728772,"0","0"
"Cell1054","SeuratProject",3800,550,"Cell1054","Batch2","Group3",4479.40763232528,"0","0"
"Cell1055","SeuratProject",6063,689,"Cell1055","Batch2","Group2",6916.74514700091,"0","0"
"Cell1056","SeuratProject",6362,757,"Cell1056","Batch2","Group1",7353.45576294359,"1","1"
"Cell1057","SeuratProject",2514,427,"Cell1057","Batch2","Group2",3128.50697770655,"2","2"
"Cell1058","SeuratProject",4682,595,"Cell1058","Batch2","Group4",5371.68015739642,"3","3"
"Cell1059","SeuratProject",2872,429,"Cell1059","Batch2","Group3",3549.69347798752,"2","2"
"Cell1060","SeuratProject",2634,418,"Cell1060","Batch2","Group1",3104.36007661744,"1","1"
"Cell1061","SeuratProject",2441,431,"Cell1061","Batch2","Group2",3018.97296594715,"0","0"
"Cell1062","SeuratProject",1626,318,"Cell1062","Batch2","Group2",1874.14459264387,"0","0"
"Cell1063","SeuratProject",5072,629,"Cell1063","Batch2","Group4",5732.09435243672,"3","3"
