"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene12892",3.96148287296707e-190,1.33921072553699,0.99,0.966,1.33478203921752e-185
"Gene32542",9.7903007716976e-181,2.24765038004278,0.938,0.743,3.29874394201579e-176
"Gene6733",3.69993656559187e-158,2.52493574816418,0.863,0.388,1.24665662641052e-153
"Gene14217",6.96840730532502e-89,1.21741991794892,0.931,0.793,2.34793515745621e-84
"Gene24381",7.03482843134761e-87,1.36506323936367,0.933,0.766,2.37031509165826e-82
"Gene15008",8.32900880347419e-79,1.72470287830533,0.434,0.08,2.80637622624259e-74
"Gene2937",2.19452071224915e-77,1.41004600551735,0.902,0.72,7.39421808785229e-73
"Gene25272",6.38626488091825e-72,1.2064689158772,0.913,0.789,2.15178808897659e-67
"Gene18063",7.34696054002912e-54,1.34810644285254,0.881,0.695,2.47548488435741e-49
"Gene6985",4.98582696961999e-52,1.34055916496754,0.318,0.062,1.67992453914376e-47
"Gene22499",1.29392869175145e-49,1.28928655578663,0.715,0.438,4.35976333398732e-45
"Gene31396",1.36039084191602e-41,1.17892203802204,0.241,0.043,4.58370090275183e-37
"Gene27166",3.41114355709694e-34,1.12135284767528,0.177,0.026,1.14935071012824e-29
"Gene14639",3.48798198729346e-32,1.03975326425139,0.189,0.033,1.17524065079866e-27
"Gene18282",7.11910490138185e-31,0.772810402828302,0.131,0.012,2.3987112054716e-26
"Gene19301",1.33155941411313e-29,0.78957906173069,0.141,0.017,4.48655628991278e-25
"Gene17060",7.84326136891073e-29,0.532716442094642,0.956,0.92,2.64270848564078e-24
"Gene15579",3.12399533508564e-26,0.992625233993299,0.511,0.284,1.05259898820376e-21
"Gene32925",2.67008055485291e-25,0.622339968181046,0.162,0.031,8.99656942152139e-21
"Gene23160",8.090408313872e-24,0.654134063689033,0.908,0.826,2.72598217727603e-19
