"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene18913",1.12343078588692e-193,2.76408277880258,0.953,0.559,3.7852876899674e-189
"Gene14662",1.37640819048064e-190,1.92881715717575,0.986,0.867,4.63766975700546e-186
"Gene33346",5.93962674584701e-108,1.90302834963719,0.798,0.381,2.00129783574569e-103
"Gene23350",1.63396467017278e-88,1.53657583793226,0.969,0.867,5.50548055968016e-84
"Gene11715",1.07398076763398e-69,1.28692010850046,0.942,0.84,3.61867079846593e-65
"Gene17485",2.13449103009514e-66,1.5678695325088,0.665,0.31,7.19195407680257e-62
"Gene13063",2.03474947061717e-63,1.15489677167011,0.959,0.892,6.8558848662975e-59
"Gene10025",6.30610117877026e-54,1.68390778155454,0.434,0.126,2.12477773117485e-49
"Gene14315",3.46002855647066e-46,1.21081107552649,0.794,0.546,1.16582202181722e-41
"Gene24725",5.78384286485411e-44,1.1409179940977,0.811,0.58,1.94880801488394e-39
"Gene25595",1.22926401319338e-36,1.22485485868531,0.249,0.054,4.14188216605377e-32
"Gene7490",2.24464318982179e-36,1.01049590294744,0.805,0.651,7.56310076378553e-32
"Gene21693",1.19993337637689e-29,0.878780805241022,0.187,0.035,4.04305551836429e-25
"Gene23971",6.21731473650824e-29,0.453334066940847,0.969,0.929,2.09486202731908e-24
"Gene20931",1.81360808197529e-26,0.91612009330369,0.749,0.546,6.11077107140756e-22
"Gene24269",2.02608843183073e-26,0.725144304125136,0.154,0.026,6.82670236221046e-22
"Gene13667",2.45838934674611e-22,0.671008364827003,0.154,0.032,8.28329706492633e-18
"Gene27951",2.54633989681662e-22,1.00427495227329,0.204,0.058,8.57963764833393e-18
"Gene25032",3.58697056921501e-21,0.59949711446006,0.136,0.026,1.2085938635913e-16
"Gene10380",1.46198841174448e-19,0.795512544018371,0.146,0.034,4.92602375453186e-15
