"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene28271",6.66084064791705e-213,2.16579619825835,0.992,0.973,2.24430364790917e-208
"Gene4979",2.32006127204577e-209,1.85199013875864,0.981,0.925,7.817214450031e-205
"Gene19473",3.17501502265541e-157,1.98661122459101,0.967,0.739,1.06978956173351e-152
"Gene22998",1.41861594269974e-91,1.7072059996627,0.874,0.556,4.77988455733249e-87
"Gene2519",2.17104139648572e-85,0.817062278582407,0.988,0.976,7.315106881319e-81
"Gene24222",3.30058523869848e-81,0.657520661544226,0.988,0.958,1.11209919032707e-76
"Gene25191",7.15980746064515e-54,1.63415257779408,0.315,0.059,2.41242552578978e-49
"Gene28118",2.15597945986647e-43,0.523074092234763,0.961,0.94,7.26435719207409e-39
"Gene2147",9.20882812658142e-39,1.11291015203009,0.221,0.037,3.10282254897034e-34
"Gene23184",2.0353777005871e-37,0.988786665752795,0.202,0.03,6.85800162435819e-33
"Gene26895",1.04308171194371e-36,0.730480884413773,0.909,0.793,3.51455952022314e-32
"Gene22306",2.8009403807752e-30,1.09232767106583,0.612,0.372,9.43748851898395e-26
"Gene9545",2.99335067993246e-30,0.668340086686753,0.928,0.842,1.00857957809644e-25
"Gene31994",1.2316848032531e-27,0.840373092415281,0.181,0.036,4.15003877608101e-23
"Gene2510",3.86422611111382e-27,0.884870573460834,0.751,0.562,1.30201234587869e-22
"Gene26209",6.43259602101e-26,0.741019441213929,0.13,0.017,2.16739890331911e-21
"Gene27915",9.02465555129721e-26,0.845584879407214,0.19,0.043,3.04076744145408e-21
"Gene16665",1.37451667238999e-24,0.865744697838135,0.439,0.211,4.63129647595083e-20
"Gene6336",5.66096198358666e-24,0.951872730465101,0.216,0.06,1.90740453074969e-19
"Gene16470",3.50620944336232e-23,0.740238511132879,0.148,0.028,1.1813822098465e-18
