"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene9155",2.74457207518671e-88,0.416907605561006,1,1,5.48914415037343e-84
"Gene11837",3.51098598517529e-54,0.329513246481433,1,1,7.02197197035058e-50
"Gene1915",7.40749336355423e-38,0.326147534790913,1,1,1.48149867271085e-33
"Gene10982",5.43917839179306e-37,0.333428608636998,1,1,1.08783567835861e-32
"Gene5388",5.6858503314306e-37,0.354905849899371,1,0.997,1.13717006628612e-32
"Gene724",2.82359950342465e-34,0.281105551397964,1,1,5.6471990068493e-30
"Gene7422",1.771677252108e-31,0.326363051883727,0.991,0.976,3.54335450421599e-27
"Gene17606",2.80229884212172e-29,0.282090001542654,1,1,5.60459768424345e-25
"Gene10559",2.45158164648345e-25,0.250473724974832,1,1,4.9031632929669e-21
"Gene5486",1.86986951464368e-23,0.250227485312006,1,1,3.73973902928736e-19
"Gene19405",1.32653004142968e-21,0.25526876807527,0.991,0.954,2.65306008285936e-17
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
