"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",73749,8942,"Cell1","Batch1","Group2",73611.094369055,"0","0"
"Cell2","SeuratProject",44611,7234,"Cell2","Batch1","Group1",44840.2665565637,"0","0"
"Cell3","SeuratProject",59868,8169,"Cell3","Batch1","Group3",59681.9709556089,"0","0"
"Cell4","SeuratProject",54541,7790,"Cell4","Batch1","Group3",53913.6792402695,"0","0"
"Cell5","SeuratProject",73226,8950,"Cell5","Batch1","Group1",73216.9126087892,"0","0"
"Cell6","SeuratProject",49511,7577,"Cell6","Batch1","Group3",48987.3732424752,"0","0"
"Cell7","SeuratProject",62659,8252,"Cell7","Batch1","Group1",62841.8169061581,"0","0"
"Cell8","SeuratProject",49423,7551,"Cell8","Batch1","Group4",48932.5810780133,"0","0"
"Cell9","SeuratProject",60629,8174,"Cell9","Batch1","Group3",60646.8769711073,"0","0"
"Cell10","SeuratProject",76001,9058,"Cell10","Batch1","Group2",75900.8287875712,"0","0"
"Cell11","SeuratProject",46765,7342,"Cell11","Batch1","Group2",46582.4741266376,"0","0"
"Cell12","SeuratProject",58010,8107,"Cell12","Batch1","Group1",57257.9242612286,"0","0"
"Cell13","SeuratProject",61552,8341,"Cell13","Batch1","Group2",62006.6331600691,"0","0"
"Cell14","SeuratProject",73236,8965,"Cell14","Batch1","Group2",73073.1219143242,"0","0"
"Cell15","SeuratProject",63034,8341,"Cell15","Batch1","Group1",63087.9200946291,"0","0"
"Cell16","SeuratProject",78613,9337,"Cell16","Batch1","Group4",78387.0312825893,"0","0"
"Cell17","SeuratProject",59314,8283,"Cell17","Batch1","Group1",60408.3620934725,"0","0"
"Cell18","SeuratProject",49125,7486,"Cell18","Batch1","Group1",49128.4422112993,"0","0"
"Cell19","SeuratProject",61530,8309,"Cell19","Batch1","Group1",61376.2747416719,"0","0"
"Cell20","SeuratProject",83747,9464,"Cell20","Batch1","Group2",85398.5838714538,"0","0"
"Cell21","SeuratProject",48709,7432,"Cell21","Batch1","Group1",48504.263363668,"0","0"
"Cell22","SeuratProject",52116,7698,"Cell22","Batch1","Group1",52193.3260155971,"0","0"
"Cell23","SeuratProject",60499,8261,"Cell23","Batch1","Group2",60183.775357508,"0","0"
"Cell24","SeuratProject",68384,8629,"Cell24","Batch1","Group1",68142.0833281704,"0","0"
"Cell25","SeuratProject",62843,8396,"Cell25","Batch1","Group3",62592.4442881373,"0","0"
"Cell26","SeuratProject",72664,9011,"Cell26","Batch1","Group4",71525.1020804418,"0","0"
"Cell27","SeuratProject",72265,8908,"Cell27","Batch1","Group1",72454.3754141131,"0","0"
"Cell28","SeuratProject",64276,8420,"Cell28","Batch1","Group2",64352.3162263791,"0","0"
"Cell29","SeuratProject",65564,8420,"Cell29","Batch1","Group2",65478.7518772829,"0","0"
"Cell30","SeuratProject",102882,10298,"Cell30","Batch1","Group3",102933.090968021,"0","0"
"Cell31","SeuratProject",56552,7926,"Cell31","Batch1","Group1",56763.0379594047,"0","0"
"Cell32","SeuratProject",73834,8961,"Cell32","Batch1","Group2",73539.0363762576,"0","0"
"Cell33","SeuratProject",34404,6207,"Cell33","Batch1","Group4",34362.7655637059,"0","0"
"Cell34","SeuratProject",54140,7807,"Cell34","Batch1","Group1",54213.4454900279,"0","0"
"Cell35","SeuratProject",71497,8839,"Cell35","Batch1","Group1",71552.0279422616,"0","0"
"Cell36","SeuratProject",55332,7825,"Cell36","Batch1","Group1",55411.5150991407,"0","0"
"Cell37","SeuratProject",74525,9092,"Cell37","Batch1","Group4",74483.1770441333,"0","0"
"Cell38","SeuratProject",96247,10069,"Cell38","Batch1","Group4",96212.3627076502,"0","0"
"Cell39","SeuratProject",61021,8289,"Cell39","Batch1","Group1",60996.5504574901,"0","0"
"Cell40","SeuratProject",70455,8799,"Cell40","Batch1","Group3",70552.9465066948,"0","0"
"Cell41","SeuratProject",69523,8725,"Cell41","Batch1","Group4",69099.392352506,"0","0"
"Cell42","SeuratProject",57556,8064,"Cell42","Batch1","Group1",57932.4320706267,"0","0"
"Cell43","SeuratProject",71003,8805,"Cell43","Batch1","Group2",70236.5103976697,"0","0"
"Cell44","SeuratProject",43359,6983,"Cell44","Batch1","Group3",43251.3226220584,"0","0"
"Cell45","SeuratProject",68932,8699,"Cell45","Batch1","Group1",69016.0340321371,"0","0"
"Cell46","SeuratProject",78089,9170,"Cell46","Batch1","Group1",77401.5130629056,"0","0"
"Cell47","SeuratProject",61969,8314,"Cell47","Batch1","Group2",62294.2404636291,"0","0"
"Cell48","SeuratProject",92059,9916,"Cell48","Batch1","Group1",92202.5264224594,"0","0"
"Cell49","SeuratProject",57701,8088,"Cell49","Batch1","Group4",57947.8008497682,"0","0"
"Cell50","SeuratProject",51347,7682,"Cell50","Batch1","Group1",50724.967426291,"0","0"
"Cell51","SeuratProject",55235,7836,"Cell51","Batch1","Group1",55112.2470203334,"0","0"
"Cell52","SeuratProject",80410,9378,"Cell52","Batch1","Group1",81298.814017793,"0","0"
"Cell53","SeuratProject",48841,7507,"Cell53","Batch1","Group1",48553.6770670908,"0","0"
"Cell54","SeuratProject",62235,8364,"Cell54","Batch1","Group1",62667.0566354572,"0","0"
"Cell55","SeuratProject",51935,7654,"Cell55","Batch1","Group4",51479.8135652904,"0","0"
"Cell56","SeuratProject",79393,9177,"Cell56","Batch1","Group1",79437.5256798526,"0","0"
"Cell57","SeuratProject",76023,9065,"Cell57","Batch1","Group3",76181.6941025597,"0","0"
"Cell58","SeuratProject",67097,8620,"Cell58","Batch1","Group1",67060.429202448,"0","0"
"Cell59","SeuratProject",79082,9247,"Cell59","Batch1","Group1",78555.5652602793,"0","0"
"Cell60","SeuratProject",57663,8038,"Cell60","Batch1","Group3",57524.5994574854,"0","0"
"Cell61","SeuratProject",69405,8833,"Cell61","Batch1","Group4",70055.3969728372,"0","0"
"Cell62","SeuratProject",85067,9592,"Cell62","Batch1","Group4",85673.0195030085,"0","0"
"Cell63","SeuratProject",55589,7958,"Cell63","Batch1","Group3",55862.6542487551,"0","0"
"Cell64","SeuratProject",64875,8564,"Cell64","Batch1","Group2",64571.1538406976,"0","0"
"Cell65","SeuratProject",55685,7985,"Cell65","Batch1","Group1",55719.1491177236,"0","0"
"Cell66","SeuratProject",67759,8676,"Cell66","Batch1","Group1",67082.7719422971,"0","0"
"Cell67","SeuratProject",85146,9472,"Cell67","Batch1","Group1",84669.7304880573,"0","0"
"Cell68","SeuratProject",47138,7354,"Cell68","Batch1","Group1",47241.6843866687,"0","0"
"Cell69","SeuratProject",61942,8320,"Cell69","Batch1","Group4",61779.0731320111,"0","0"
"Cell70","SeuratProject",57161,8045,"Cell70","Batch1","Group1",58428.6508944878,"0","0"
"Cell71","SeuratProject",55229,7910,"Cell71","Batch1","Group3",54833.5140468535,"0","0"
"Cell72","SeuratProject",62765,8398,"Cell72","Batch1","Group2",62235.8026810592,"0","0"
