"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene14207",6.61693930170347e-114,0.370028834639968,1,1,1.32338786034069e-109
"Gene19034",9.88763850881575e-66,0.336849647795646,1,1,1.97752770176315e-61
"Gene11216",7.64340043840725e-59,0.292464634035764,1,1,1.52868008768145e-54
"Gene9141",8.72387693264185e-56,0.274270406534069,1,1,1.74477538652837e-51
"Gene948",7.0904851709694e-52,0.304338444336498,1,1,1.41809703419388e-47
"Gene2396",2.18828969848377e-50,0.274733033603973,1,1,4.37657939696754e-46
"Gene12438",4.44713211633745e-35,0.261132827801763,1,1,8.8942642326749e-31
"Gene15433",7.40924609024023e-33,0.266006815965911,0.993,0.972,1.48184921804805e-28
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA
