"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene13075",2.01646042568449e-102,0.456037486934287,1,1,4.03292085136897e-98
"Gene142",6.49354867684373e-83,0.402729525232004,1,1,1.29870973536875e-78
"Gene3523",2.3422323050437e-66,0.39834322775806,1,1,4.68446461008739e-62
"Gene14643",9.43312452440318e-47,0.274827487001439,1,1,1.88662490488064e-42
"Gene12429",2.68073034514689e-44,0.352719461710419,1,1,5.36146069029378e-40
"Gene13444",4.4941850103197e-44,0.331091487433473,1,1,8.98837002063939e-40
"Gene8591",1.00714244617481e-42,0.316880272877757,1,1,2.01428489234962e-38
"Gene15832",2.34007460084209e-39,0.262997842566669,1,1,4.68014920168417e-35
"Gene14279",4.54225550238901e-39,0.333588333955146,1,1,9.08451100477802e-35
"Gene16265",1.77750266507922e-38,0.278155103577816,1,1,3.55500533015845e-34
"Gene18370",3.68619858483198e-28,0.267985441977347,0.996,0.981,7.37239716966395e-24
"Gene7828",3.37951782455105e-25,0.268926407904243,1,1,6.7590356491021e-21
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
