"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene16021",5.303645032567e-53,0.435879133368072,1,1,1.0607290065134e-48
"Gene11519",1.4846722040672e-37,0.387436206567805,1,1,2.9693444081344e-33
"Gene9929",6.76690919528791e-37,0.401355020392387,1,1,1.35338183905758e-32
"Gene3700",7.40179755702178e-33,0.32888819635139,1,1,1.48035951140436e-28
"Gene7531",9.96870823063085e-32,0.341498991883288,1,1,1.99374164612617e-27
"Gene13413",7.42152363805471e-30,0.29838066436283,1,1,1.48430472761094e-25
"Gene13097",8.60010612459295e-23,0.315542310505275,1,1,1.72002122491859e-18
"Gene17991",1.61292574522316e-22,0.26196496688337,1,1,3.22585149044632e-18
"Gene17056",3.16261872005293e-20,0.270501671607894,1,1,6.32523744010586e-16
"Gene4740",1.18919398112156e-19,0.273812324340438,1,1,2.37838796224311e-15
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA
